score,sentence_scores,text,error,status_code
0.9999556069351199,"[{'score': 0.8759998227298929, 'sentence': 'A man has been jailed for keeping dogs for fighting at his home in Ayrshire.'}, {'score': 0.9985168793335031, 'sentence': 'Tony Barbara, 50, was sentenced to 18 months in prison after being found guilty of animal cruelty offences.'}, {'score': 0.0015672782779655448, 'sentence': 'The court heard that police discovered multiple dogs in appalling conditions, with visible injuries suggesting they had been used for dog fighting.'}, {'score': 0.9973028336965454, 'sentence': 'The dogs were immediately removed from the property and placed in the care of animal welfare organisations.'}, {'score': 0.9893720654476607, 'sentence': ""Barbara's conviction sends a clear message that animal cruelty will not be tolerated and those found guilty will face severe consequences.""}]","A man has been jailed for keeping dogs for fighting at his home in Ayrshire. Tony Barbara, 50, was sentenced to 18 months in prison after being found guilty of animal cruelty offences. The court heard that police discovered multiple dogs in appalling conditions, with visible injuries suggesting they had been used for dog fighting. The dogs were immediately removed from the property and placed in the care of animal welfare organisations. Barbara's conviction sends a clear message that animal cruelty will not be tolerated and those found guilty will face severe consequences.",,
0.9999992496681035,"[{'score': 0.0017928862754009733, 'sentence': 'It is customary to leave a tip when dining out, but one tip in particular added to a takeout order left the restaurant staff in total disbelief.'}, {'score': 0.02384893427886925, 'sentence': ""A regular customer of Luigi's Italian Bistro, known only as Mr. Smith, left an astonishing $1,000 tip for his modest $30 meal.""}, {'score': 0.003628236917390004, 'sentence': 'The staff, who were struggling due to the economic impact of the pandemic, were overwhelmed with emotion.'}, {'score': 0.8272957601561894, 'sentence': ""Mr. Smith's generous act not only showed his appreciation for their culinary skills, but also his understanding of the difficult times they were facing.""}, {'score': 0.0, 'sentence': 'This extraordinary tip became a beacon of hope amidst their struggles.'}]","It is customary to leave a tip when dining out, but one tip in particular added to a takeout order left the restaurant staff in total disbelief. A regular customer of Luigi's Italian Bistro, known only as Mr. Smith, left an astonishing $1,000 tip for his modest $30 meal. The staff, who were struggling due to the economic impact of the pandemic, were overwhelmed with emotion. Mr. Smith's generous act not only showed his appreciation for their culinary skills, but also his understanding of the difficult times they were facing. This extraordinary tip became a beacon of hope amidst their struggles.",,
0.9999992275734533,"[{'score': 0.007259780451528863, 'sentence': 'Less than two years ago, I found myself sitting at a South Atlantic League baseball game (Single-A league), savoring the raw energy of theandi young hopefuls trying to make their mark on the big leagues.'}, {'score': 0.6478728464164183, 'sentence': ""The stadium was filled with the aroma of popcorn and hot dogs, the crowd's cheers resonated in the afternoon air.""}, {'score': 0.9546023507185661, 'sentence': 'There was an incredible sense of camaraderie among the spectators, sharing the collective joy and anticipation.'}, {'score': 0.060880019725419676, 'sentence': 'As I watched these young players, their passion and dedication were palpable.'}, {'score': 0.9805494827666291, 'sentence': 'It was a stark reminder of the power of dreams and the determination required to pursue them.'}]","Less than two years ago, I found myself sitting at a South Atlantic League baseball game (Single-A league), savoring the raw energy of theandi young hopefuls trying to make their mark on the big leagues. The stadium was filled with the aroma of popcorn and hot dogs, the crowd's cheers resonated in the afternoon air. There was an incredible sense of camaraderie among the spectators, sharing the collective joy and anticipation. As I watched these young players, their passion and dedication were palpable. It was a stark reminder of the power of dreams and the determination required to pursue them.",,
0.9662873577466584,"[{'score': 0.0005232280470159889, 'sentence': 'November 17, 2015, 12:55 a.m. Michael Hoeppner had to leave behind his Manhattan street manners.'}, {'score': 0.0006207846049450794, 'sentence': 'We realized we were in a place where the bustling nightlife was replaced by a serene calm.'}, {'score': 0.03496600009088169, 'sentence': 'Michael Hoeppner, once a busy New Yorker, had now moved to a small town in Vermont, trading in skyscrapers for rolling hills and car horns for birdsong.'}, {'score': 0.0007166065137571564, 'sentence': 'The pace was slower, the people friendlier, and the surroundings more peaceful.'}, {'score': 0.2465221857647273, 'sentence': 'He was learning to adapt, to slow down, to breathe.'}, {'score': 0.7734353609728107, 'sentence': 'It was a completely new lifestyle, but Michael was ready to embrace it with all his heart.'}]","November 17, 2015, 12:55 a.m. Michael Hoeppner had to leave behind his Manhattan street manners. We realized we were in a place where the bustling nightlife was replaced by a serene calm. Michael Hoeppner, once a busy New Yorker, had now moved to a small town in Vermont, trading in skyscrapers for rolling hills and car horns for birdsong. The pace was slower, the people friendlier, and the surroundings more peaceful. He was learning to adapt, to slow down, to breathe. It was a completely new lifestyle, but Michael was ready to embrace it with all his heart.",,
0.9999990700280503,"[{'score': 0.9535328430469879, 'sentence': 'A new survey reveals that more Americans would choose the Internet as their sole news source over television, radio, or printed newspapers.'}, {'score': 3.744827310114829e-05, 'sentence': 'The growing preference for online news sources reflects the digital age, where information is accessed instantly and conveniently.'}, {'score': 0.0003955465330719443, 'sentence': 'This shift also indicates a demographic change, with younger generations relying more on the Internet for news.'}, {'score': 0.9730144979138153, 'sentence': 'However, it also raises questions about the reliability of online news, as it is often unregulated and susceptible to misinformation.'}, {'score': 0.06106714540670377, 'sentence': 'It highlights the need for media literacy and critical thinking in the face of the evolving news landscape.'}]","A new survey reveals that more Americans would choose the Internet as their sole news source over television, radio, or printed newspapers. The growing preference for online news sources reflects the digital age, where information is accessed instantly and conveniently. This shift also indicates a demographic change, with younger generations relying more on the Internet for news. However, it also raises questions about the reliability of online news, as it is often unregulated and susceptible to misinformation. It highlights the need for media literacy and critical thinking in the face of the evolving news landscape.",,
0.9999992876786238,"[{'score': 0.0031035671986308078, 'sentence': 'A family travels to a remote island in southern Chile.'}, {'score': 0.12111916053427607, 'sentence': 'On the trip, they try to convince their grandparents to leave their isolated home and move in with them back to the city.'}, {'score': 3.5914826668204114e-11, 'sentence': 'The grandparents are initially resistant, valuing their serene lifestyle and the memories they have created on the island.'}, {'score': 0.02223947821579597, 'sentence': 'However, the family presents the difficulties of their advanced age, the benefits of modern amenities, and the joy of being close to their grandchildren.'}, {'score': 0.010244926584577652, 'sentence': 'The grandparents are torn, struggling to make a decision between the familiar comfort of their island home and the prospect of a life in the city with family support and guidance.'}]","A family travels to a remote island in southern Chile. On the trip, they try to convince their grandparents to leave their isolated home and move in with them back to the city. The grandparents are initially resistant, valuing their serene lifestyle and the memories they have created on the island. However, the family presents the difficulties of their advanced age, the benefits of modern amenities, and the joy of being close to their grandchildren. The grandparents are torn, struggling to make a decision between the familiar comfort of their island home and the prospect of a life in the city with family support and guidance.",,
0.8572969495752326,"[{'score': 0.0, 'sentence': 'The Momtract from Mother New York agency grants command privileges instead of flowers or cards.'}, {'score': 0.0, 'sentence': 'The Mother New York advertising agency launched a unique product: The Momtract.'}, {'score': 0.0, 'sentence': 'This innovative idea, instead of traditional gifts such as flowers or cards, grants mothers command privileges for a day.'}, {'score': 5.926635915365353e-07, 'sentence': ""It's a fun and double-edged approach to celebrating motherhood, allowing mothers to truly enjoy a day of being in command.""}, {'score': 9.746938811616701e-10, 'sentence': 'The Momtract gives them the freedom to make decisions and give orders, which is a refreshing change from their usual daily duties.'}, {'score': 0.9393238022154644, 'sentence': ""It's a humorous and sincere way to show appreciation for the hard work they do every day.""}]","The Momtract from Mother New York agency grants command privileges instead of flowers or cards. The Mother New York advertising agency launched a unique product: The Momtract. This innovative idea, instead of traditional gifts such as flowers or cards, grants mothers command privileges for a day. It's a fun and double-edged approach to celebrating motherhood, allowing mothers to truly enjoy a day of being in command. The Momtract gives them the freedom to make decisions and give orders, which is a refreshing change from their usual daily duties. It's a humorous and sincere way to show appreciation for the hard work they do every day.",,
0.999999239980486,"[{'score': 0.0, 'sentence': 'The ABC television political debate program, Insiders, comes to Byron Bay.'}, {'score': 9.074348783499886e-08, 'sentence': 'Host Barrie Cassidy will guide a panel of visiting experts through a rigorous discussion on the latest news in Australian politics.'}, {'score': 0.0592698838245449, 'sentence': 'The panel will include prominent political analysts, journalists, and former politicians.'}, {'score': 0.03531378621175374, 'sentence': 'They will analyze topics such as climate change policies, upcoming elections, and the general political climate in Australia.'}, {'score': 0.9922692878886586, 'sentence': 'The audience will also have the opportunity to participate in the discussion, asking questions and contributing their perspectives.'}, {'score': 0.9594168032936636, 'sentence': 'This promises to be a thought-provoking and engaging evening for all those interested in Australian politics.'}]","The ABC television political debate program, Insiders, comes to Byron Bay. Host Barrie Cassidy will guide a panel of visiting experts through a rigorous discussion on the latest news in Australian politics. The panel will include prominent political analysts, journalists, and former politicians. They will analyze topics such as climate change policies, upcoming elections, and the general political climate in Australia. The audience will also have the opportunity to participate in the discussion, asking questions and contributing their perspectives. This promises to be a thought-provoking and engaging evening for all those interested in Australian politics.",,
0.877710474999718,"[{'score': 0.9830074117042493, 'sentence': 'Washington D.C., July 31, 2018 / 03:01 pm ( ).- The Washington Metropolitan Area Transit Authority was criticized for its recent decision to discontinue late-night service, which many argued would disproportionately affect low-income workers who rely on public transportation.'}, {'score': 0.8912704742946274, 'sentence': 'Activists and community leaders expressed their concerns, pointing out that many workers in the service industry, healthcare, and other sectors often work non-traditional hours.'}, {'score': 0.8960455502752019, 'sentence': 'They argued that the reduction in service would not only cause them inconvenience, but could also potentially jeopardize their jobs.'}, {'score': 0.31110219731524325, 'sentence': 'The Authority has yet to respond to these criticisms and is expected to review the decision.'}]","Washington D.C., July 31, 2018 / 03:01 pm ( ).- The Washington Metropolitan Area Transit Authority was criticized for its recent decision to discontinue late-night service, which many argued would disproportionately affect low-income workers who rely on public transportation. Activists and community leaders expressed their concerns, pointing out that many workers in the service industry, healthcare, and other sectors often work non-traditional hours. They argued that the reduction in service would not only cause them inconvenience, but could also potentially jeopardize their jobs. The Authority has yet to respond to these criticisms and is expected to review the decision.",,
0.9999986232091211,"[{'score': 0.0, 'sentence': 'Could drainage pipes resolve the Compact conflict?'}, {'score': 2.389528575008626e-10, 'sentence': 'How can we get more water into the Republican River?'}, {'score': 1.408844315653468e-07, 'sentence': 'Could it be as simple as installing drainage pipes?'}, {'score': 5.803281492577916e-06, 'sentence': 'These questions have generated debate among environmentalists, engineers, and local authorities.'}, {'score': 0.0035131989403597297, 'sentence': 'Drainage pipes, unlike traditional irrigation methods, could potentially redirect water to areas where it is most needed, thus reducing conflicts over water rights.'}, {'score': 0.931371187537493, 'sentence': 'However, the viability and environmental impact of this solution are still to be studied.'}, {'score': 0.9696898091562536, 'sentence': 'The challenge is to ensure a sustainable solution that respects the ecosystem and the rights of all parties involved.'}]","Could drainage pipes resolve the Compact conflict? How can we get more water into the Republican River? Could it be as simple as installing drainage pipes? These questions have generated debate among environmentalists, engineers, and local authorities. Drainage pipes, unlike traditional irrigation methods, could potentially redirect water to areas where it is most needed, thus reducing conflicts over water rights. However, the viability and environmental impact of this solution are still to be studied. The challenge is to ensure a sustainable solution that respects the ecosystem and the rights of all parties involved.",,
