score,sentence_scores,text
0.9999597356274096,"[{'score': 0.02471228081032162, 'sentence': 'New Girl is about to come back, and our main characters are in very interesting places in their relationships.'}, {'score': 8.881784197001252e-16, 'sentence': 'Cece and Schmidt have finally tied the knot.'}, {'score': 0.0, 'sentence': 'Nick is in a fairly new relationship with Reagan, and Winston is pretty much with Aly.'}, {'score': 0.8165364201306808, 'sentence': 'So what exactly should you be looking forward to?'}, {'score': 0.0, 'sentence': 'Here are six things we’re super excited about this season.'}, {'score': 0.9999835688992738, 'sentence': '1.'}, {'score': 0.0, 'sentence': 'We’re going to get more Reagan.'}, {'score': 0.9772086027959396, 'sentence': 'If you liked the addition of Megan Fox to New Girl last season, then you should be happy that she will be back.'}]","New Girl is about to come back, and our main characters are in very interesting places in their relationships. Cece and Schmidt have finally tied the knot. Nick is in a fairly new relationship with Reagan, and Winston is pretty much with Aly. So what exactly should you be looking forward to? Here are six things we’re super excited about this season. 1. We’re going to get more Reagan. If you liked the addition of Megan Fox to New Girl last season, then you should be happy that she will be back."
0.00015274826571243239,"[{'score': 0.9975878339580764, 'sentence': 'Singer-turned-actor Kim Hyun-joong is considering a return to the small screen, his agency said Tuesday.'}, {'score': 1.3127943176982626e-11, 'sentence': 'According to KeyEast Entertainment, Kim has recently been offered a leading role in upcoming drama series “When Time Stopped,” a 12-part fantasy-romance.'}, {'score': 0.0, 'sentence': 'He would play a time traveler living a lonely life.'}, {'score': 5.489738579878001e-05, 'sentence': 'Kim has not yet decided whether to take the offer, KeyEast said.'}, {'score': 0.0, 'sentence': 'His latest screen work was drama series “Inspiring Generation” in 2014.'}, {'score': 2.1768934199695167e-07, 'sentence': 'A former member of idol group SS501, Kim released a single in November and held fan events and concerts.'}, {'score': 0.006727123503888599, 'sentence': 'He also recently renewed his contract with the agency.'}]","Singer-turned-actor Kim Hyun-joong is considering a return to the small screen, his agency said Tuesday. According to KeyEast Entertainment, Kim has recently been offered a leading role in upcoming drama series “When Time Stopped,” a 12-part fantasy-romance. He would play a time traveler living a lonely life. Kim has not yet decided whether to take the offer, KeyEast said. His latest screen work was drama series “Inspiring Generation” in 2014. A former member of idol group SS501, Kim released a single in November and held fan events and concerts. He also recently renewed his contract with the agency."
0.8940608891968463,"[{'score': 5.1961183635484964e-05, 'sentence': 'As part of the LifeMedGreenRoof Project, the Standardisation Directorate in the Malta Competition and Consumer Affairs Authority (MCCAA) has held a second workshop to launch the public consultation on the Draft National Standard for Green Roofs.'}, {'score': 0.951023756537665, 'sentence': ""As part of the EU's 2020 Strategy, which aims to reduce energy requirements by a minimum of 20 per cent by 2020, the Commission's Energy Efficiency Plan 2011 has identified that buildings have the greatest energy-saving potential.""}, {'score': 2.481282385669026e-06, 'sentence': 'The plan focuses on mechanisms to reduce the energy requirements of existing buildings - public buildings in particular - and the role of dissemination projects in introducing energy-efficient measures.'}]","As part of the LifeMedGreenRoof Project, the Standardisation Directorate in the Malta Competition and Consumer Affairs Authority (MCCAA) has held a second workshop to launch the public consultation on the Draft National Standard for Green Roofs. As part of the EU's 2020 Strategy, which aims to reduce energy requirements by a minimum of 20 per cent by 2020, the Commission's Energy Efficiency Plan 2011 has identified that buildings have the greatest energy-saving potential. The plan focuses on mechanisms to reduce the energy requirements of existing buildings - public buildings in particular - and the role of dissemination projects in introducing energy-efficient measures."
2.449696217110553e-05,"[{'score': 4.92613424418753e-06, 'sentence': 'The voter scam has been confirmed in several states, including Mississippi.'}, {'score': 0.12746349891856545, 'sentence': ""Louisiana's chief election officer is warning residents of a potential scam to get sensitive information from would-be voters following similar concerns in several other states.""}, {'score': 1.3890866395249724e-05, 'sentence': 'The scam involves a caller claiming to work for a voter registration assistance organization.'}, {'score': 9.754698843433829e-05, 'sentence': 'The callers offer to register residents over the phone and in some cases to send the voter an absentee ballot, said Secretary of State Kyle Ardoin.'}, {'score': 0.9988093309345474, 'sentence': ""According to state law, residents can't register to vote or request an absentee ballot by phone.""}]","The voter scam has been confirmed in several states, including Mississippi. Louisiana's chief election officer is warning residents of a potential scam to get sensitive information from would-be voters following similar concerns in several other states. The scam involves a caller claiming to work for a voter registration assistance organization. The callers offer to register residents over the phone and in some cases to send the voter an absentee ballot, said Secretary of State Kyle Ardoin. According to state law, residents can't register to vote or request an absentee ballot by phone."
0.9999939547026467,"[{'score': 0.9704905634306722, 'sentence': 'For small businesses that sell on credit, accounts receivable can make up a substantial portion of the balance sheet.'}, {'score': 0.0008569386470536067, 'sentence': 'During the annual audit, auditors will check to see if your claims regarding the accounts receivable balance can be proved.'}, {'score': 1.1627476759201727e-10, 'sentence': 'These claims are known as assertions.'}, {'score': 0.004400156757838669, 'sentence': 'The most common audit procedure related to accounts receivable is confirmation, in which the auditor will ask your customers to confirm their account balance.'}, {'score': 0.0, 'sentence': 'Knowing which assertions can be proved by confirmation can help you understand why your auditor asks for multiple audit procedures on the same account.'}, {'score': 0.0, 'sentence': 'Accounts receivable confirmations mainly serve to prove the existence assertion.'}]","For small businesses that sell on credit, accounts receivable can make up a substantial portion of the balance sheet. During the annual audit, auditors will check to see if your claims regarding the accounts receivable balance can be proved. These claims are known as assertions. The most common audit procedure related to accounts receivable is confirmation, in which the auditor will ask your customers to confirm their account balance. Knowing which assertions can be proved by confirmation can help you understand why your auditor asks for multiple audit procedures on the same account. Accounts receivable confirmations mainly serve to prove the existence assertion."
1.6994476318421547e-06,"[{'score': 5.995204332975845e-14, 'sentence': ""Be glad you aren't Jim Furyk today.""}, {'score': 0.9999835688992738, 'sentence': '1.'}, {'score': 0.0006862090357828698, 'sentence': 'The American team entered Sunday with a massive four point lead in the Ryder Cup, and the home fans were expecting to enjoy another dominant day.'}, {'score': 0.9999741540893661, 'sentence': '2.'}, {'score': 0.10203517681509111, 'sentence': 'Luke Donald won the first match of the day over Bubba Watson, to make the score 10-7.'}, {'score': 0.012862294625988646, 'sentence': 'Still, the USA has a big lead.'}, {'score': 0.0, 'sentence': 'Whatever.'}, {'score': 0.9999687903958526, 'sentence': '3.'}, {'score': 0.0, 'sentence': ""Europe's Paul Lawrie wiped the floor with Brandt Snedeker for another European point.""}, {'score': 0.9999658053760866, 'sentence': '4.'}, {'score': 0.0202591195195182, 'sentence': ""At least Keegan Bradley, Team USA's best player all weekend, was putting up a fight against Rory McIlroy.""}]","Be glad you aren't Jim Furyk today. 1. The American team entered Sunday with a massive four point lead in the Ryder Cup, and the home fans were expecting to enjoy another dominant day. 2. Luke Donald won the first match of the day over Bubba Watson, to make the score 10-7. Still, the USA has a big lead. Whatever. 3. Europe's Paul Lawrie wiped the floor with Brandt Snedeker for another European point. 4. At least Keegan Bradley, Team USA's best player all weekend, was putting up a fight against Rory McIlroy."
0.0016702002003079475,"[{'score': 0.9720961405084227, 'sentence': ""It happens: You hit the snooze button once, twice, then three times, so when you're finally showered, dressed and ready to tackle the day, you're already behind schedule.""}, {'score': 4.440892098500626e-16, 'sentence': 'Oftentimes that causes you to skip breakfast completely.'}, {'score': 0.0009133196336661431, 'sentence': 'Turns out, your breakfast habit is one time-saving step that should not be skipped.'}, {'score': 0.9609738165330605, 'sentence': 'First off, eating a nutritious, high-protein, balanced breakfast every morning is a proven way to kick-start your brain, improving concentration and performance.'}, {'score': 0.43255957325031824, 'sentence': 'Plus breakfast is linked to better weight control, as it provides your body energy and may reduce hunger later in the day.'}]","It happens: You hit the snooze button once, twice, then three times, so when you're finally showered, dressed and ready to tackle the day, you're already behind schedule. Oftentimes that causes you to skip breakfast completely. Turns out, your breakfast habit is one time-saving step that should not be skipped. First off, eating a nutritious, high-protein, balanced breakfast every morning is a proven way to kick-start your brain, improving concentration and performance. Plus breakfast is linked to better weight control, as it provides your body energy and may reduce hunger later in the day."
7.368367294091627e-07,"[{'score': 0.7063061788340341, 'sentence': ""Dublin: Lawmakers overwhelmingly voted on Friday to back Ireland's first bill on abortion, legalising the practice in exceptional cases where doctors deem the woman's life at risk from her pregnancy, as the predominantly Catholic country took its first legislative step away from an outright ban.""}, {'score': 4.244844187262231e-08, 'sentence': ""Exhausted legislators applauded Friday's 127-31 vote, while outside the parliament gates abortion rights activists cheered as they watched the result on their smartphones.""}, {'score': 0.0, 'sentence': 'It capped a grueling debate that locked lawmakers in argument from Wednesday morning to 5am Thursday and, after a pause for sleep, through midnight Friday.'}]","Dublin: Lawmakers overwhelmingly voted on Friday to back Ireland's first bill on abortion, legalising the practice in exceptional cases where doctors deem the woman's life at risk from her pregnancy, as the predominantly Catholic country took its first legislative step away from an outright ban. Exhausted legislators applauded Friday's 127-31 vote, while outside the parliament gates abortion rights activists cheered as they watched the result on their smartphones. It capped a grueling debate that locked lawmakers in argument from Wednesday morning to 5am Thursday and, after a pause for sleep, through midnight Friday."
0.9999923946032584,"[{'score': 6.834708397018829e-07, 'sentence': 'The best Halloween costumes are inspired by the year’s most memorable moments, and 2016 has been nothing if not memorable.'}, {'score': 3.5324395758484783e-06, 'sentence': ""We've had the Summer Olympics and a US presidential election, which dominate headlines (and Facebook timelines!) every four years.""}, {'score': 8.04104560714336e-10, 'sentence': 'Throw in a masterpiece visual album from Beyoncé, the hype surrounding Pokémon Go, and the candy-colored, quotable craziness of Suicide Squad, and 2016 is basically begging for a Halloween costume bonanza.'}, {'score': 0.0, 'sentence': 'We have become experts on all things Halloween — producing over one billion pageviews’ worth of Halloween content.'}, {'score': 0.0, 'sentence': 'That’s where we come in.'}]","The best Halloween costumes are inspired by the year’s most memorable moments, and 2016 has been nothing if not memorable. We've had the Summer Olympics and a US presidential election, which dominate headlines (and Facebook timelines!) every four years. Throw in a masterpiece visual album from Beyoncé, the hype surrounding Pokémon Go, and the candy-colored, quotable craziness of Suicide Squad, and 2016 is basically begging for a Halloween costume bonanza. We have become experts on all things Halloween — producing over one billion pageviews’ worth of Halloween content. That’s where we come in."
0.9452779667847084,"[{'score': 7.2528948180661246e-06, 'sentence': 'Randy Pausch died last Friday.'}, {'score': 0.0, 'sentence': 'He was the Carnegie Mellon Professor who’s “Last Lecture” became an internet sensation, inspired a bestselling book and two Diane Sawyer television specials.'}, {'score': 0.5272119311222243, 'sentence': 'Have you seen the Last Lecture, or read the book?'}, {'score': 0.19685258836714203, 'sentence': 'Have you seen the television specials?'}, {'score': 0.999964007651747, 'sentence': 'What do you think?'}, {'score': 0.9600878356708437, 'sentence': 'Please leave a comment, letting us know.'}, {'score': 7.2528948180661246e-06, 'sentence': 'Randy Pausch died last Friday.'}, {'score': 0.0, 'sentence': 'He was the Carnegie Mellon Professor who’s “Last Lecture” became an internet sensation, inspired a bestselling book and two Diane Sawyer television specials.'}, {'score': 0.5272119311222243, 'sentence': 'Have you seen the Last Lecture, or read the book?'}]","Randy Pausch died last Friday. He was the Carnegie Mellon Professor who’s “Last Lecture” became an internet sensation, inspired a bestselling book and two Diane Sawyer television specials. Have you seen the Last Lecture, or read the book? Have you seen the television specials? What do you think? Please leave a comment, letting us know. Randy Pausch died last Friday. He was the Carnegie Mellon Professor who’s “Last Lecture” became an internet sensation, inspired a bestselling book and two Diane Sawyer television specials. Have you seen the Last Lecture, or read the book?"
